Datetime,Open,High,Low,Last,Volume,Dividends,Stock splits
6/1/2022 13:55,182.86,183.95,182.81,183.49,342327,0,0
6/1/2022 14:00,183.49,184.0837,183.33,183.7999,414517,0,0
6/1/2022 14:05,183.75,184.1,183.2435,183.5628,336284,0,0
6/1/2022 14:10,183.6295,184.11,183.31,183.7747,305349,0,0
6/1/2022 14:15,183.82,184.26,183.2601,183.5197,340937,0,0
6/1/2022 14:20,183.49,184.82,183.375,184.81,549615,0,0
6/1/2022 14:25,184.8024,185.54,184.65,185.32,597839,0,0
6/1/2022 14:30,185.34,185.49,185.0899,185.28,394038,0,0
6/1/2022 14:35,185.2778,185.68,184.93,184.945,498630,0,0
6/1/2022 14:40,184.97,185.45,184.84,185.45,439392,0,0
6/1/2022 14:45,185.4513,185.57,184.86,185.11,443860,0,0
6/1/2022 14:50,185.07,185.0801,184.17,184.2942,423501,0,0
6/1/2022 14:55,184.32,184.66,183.81,184.2595,414843,0,0
6/1/2022 15:00,184.2406,184.52,183.55,183.8921,440438,0,0
6/1/2022 15:05,183.8,184.6,183.7901,184.28,347240,0,0
6/1/2022 15:10,184.3,185.2207,184.1293,185.05,427730,0,0
6/1/2022 15:15,185.01,185.63,184.72,185.085,501650,0,0
6/1/2022 15:20,185.076,185.44,184.9,185.12,351321,0,0
6/1/2022 15:25,185.08,185.29,184.58,184.92,375799,0,0
6/1/2022 15:30,184.93,184.94,184.3501,184.36,376456,0,0
6/1/2022 15:35,184.35,184.98,184.05,184.98,399614,0,0
6/1/2022 15:40,185,185.4,184.8615,185.015,495329,0,0
6/1/2022 15:45,185,185.44,184.61,185.18,424913,0,0
6/1/2022 15:50,185.2,185.6,183.66,183.71,555439,0,0
6/1/2022 15:55,183.74,183.96,182.94,183.2,2697454,0,0
6/2/2022 9:30,182.92,184.73,181.98,184.209,1377324,0,0
6/2/2022 9:35,184.22,186.29,183.2513,186.25,1470057,0,0
6/2/2022 9:40,186.2535,186.59,184.7,186.5099,1406845,0,0
6/2/2022 9:45,186.4521,187.79,186.1049,187.7001,1159047,0,0
6/2/2022 9:50,187.74,188.1639,187.05,187.24,1220246,0,0
6/2/2022 9:55,187.3048,187.7572,186.0056,187.52,1116963,0,0
6/2/2022 10:00,187.48,189.1084,186.88,189,1207595,0,0
6/2/2022 10:05,188.9975,189.55,188.17,188.7,974948,0,0
6/2/2022 10:10,188.715,190.55,188.44,190.22,1254884,0,0
6/2/2022 10:15,190.24,191.45,189.8085,189.9089,1453640,0,0
6/2/2022 10:20,189.939,190.3799,188.42,188.7,1204259,0,0
6/2/2022 10:25,188.66,189.7,188.585,189.154,926169,0,0
6/2/2022 10:30,189.17,189.83,188.79,189.43,828859,0,0
6/2/2022 10:35,189.4,190.2168,188.99,189.84,737731,0,0
6/2/2022 10:40,189.87,190.14,189.14,189.51,420150,0,0
6/2/2022 10:45,189.53,189.79,188.78,189.6,497462,0,0
6/2/2022 10:50,189.58,189.73,189.04,189.21,500231,0,0
6/2/2022 10:55,189.21,189.96,189.0501,189.7788,598378,0,0
6/2/2022 11:00,189.76,191.3,189.5468,190.9799,884567,0,0
6/2/2022 11:05,191.01,191.59,190.638,191.475,606276,0,0
6/2/2022 11:10,191.52,192.88,191.4887,192.79,1018590,0,0
6/2/2022 11:15,192.8354,192.9599,192.2038,192.31,651176,0,0
6/2/2022 11:20,192.3124,194.14,192.11,193.625,947485,0,0
6/2/2022 11:25,193.6239,193.8525,193.13,193.8,744642,0,0
6/2/2022 11:30,193.83,193.96,193.21,193.755,571925,0,0
6/2/2022 11:35,193.7105,193.98,193.19,193.73,506362,0,0
6/2/2022 11:40,193.75,194.8399,193.43,194.4,811861,0,0
6/2/2022 11:45,194.3992,195.0697,194.335,194.5836,681231,0,0
6/2/2022 11:50,194.5994,194.79,193.88,194.01,621467,0,0
6/2/2022 11:55,194.06,194.13,192.99,193.144,615999,0,0
6/2/2022 12:00,193.14,193.62,193.05,193.44,424443,0,0
6/2/2022 12:05,193.46,193.63,193.06,193.445,371705,0,0
6/2/2022 12:10,193.46,194.1039,193.3107,193.6799,459187,0,0
6/2/2022 12:15,193.693,194.15,193.6922,193.84,395326,0,0
6/2/2022 12:20,193.82,194.47,193.57,194.45,377045,0,0
6/2/2022 12:25,194.44,194.67,194.2,194.4699,414649,0,0
6/2/2022 12:30,194.48,194.75,194.21,194.74,416868,0,0
6/2/2022 12:35,194.735,195.38,194.61,195.34,465718,0,0
6/2/2022 12:40,195.32,195.47,194.655,194.8755,413411,0,0
6/2/2022 12:45,194.89,195.191,194.8,195.11,350509,0,0
6/2/2022 12:50,195.105,195.41,194.822,195.34,311791,0,0
6/2/2022 12:55,195.31,195.34,194.63,194.985,396355,0,0
6/2/2022 13:00,195,195.9,194.77,195.9,678001,0,0
6/2/2022 13:05,195.875,195.9,195.19,195.2099,436848,0,0
6/2/2022 13:10,195.1906,195.53,194.2,194.39,517576,0,0
6/2/2022 13:15,194.415,195.55,194.21,195.5,501861,0,0
6/2/2022 13:20,195.485,195.8,195.2476,195.4939,382187,0,0
6/2/2022 13:25,195.51,196,194.93,195.4388,528787,0,0
6/2/2022 13:30,195.46,195.62,195.0475,195.52,228451,0,0
6/2/2022 13:35,195.583,195.6,195.11,195.465,193724,0,0
6/2/2022 13:40,195.4799,195.69,195.03,195.53,390053,0,0
6/2/2022 13:45,195.535,195.64,195.16,195.3858,280042,0,0
6/2/2022 13:50,195.41,195.46,195.02,195.225,280842,0,0
6/2/2022 13:55,195.21,195.6,194.95,195.5,356914,0,0
6/2/2022 14:00,195.5049,196.07,195.43,196,477887,0,0
6/2/2022 14:05,195.98,196.03,195.53,195.8234,357531,0,0
6/2/2022 14:10,195.79,196.19,195.63,196.09,552163,0,0
6/2/2022 14:15,196.1,196.1,195.54,195.765,359130,0,0
6/2/2022 14:20,195.76,195.91,195.55,195.76,240896,0,0
6/2/2022 14:25,195.76,195.7636,195.14,195.385,390762,0,0
6/2/2022 14:30,195.39,195.89,195.39,195.845,369593,0,0
6/2/2022 14:35,195.84,195.8999,195.43,195.72,324365,0,0
6/2/2022 14:40,195.7175,195.72,195.09,195.38,360208,0,0
6/2/2022 14:45,195.36,195.43,194.8251,194.875,337175,0,0
6/2/2022 14:50,194.87,195.12,194.52,194.53,488142,0,0
6/2/2022 14:55,194.52,194.67,193.71,193.8092,759744,0,0
6/2/2022 15:00,193.813,194.38,193.6324,194.0725,634334,0,0
6/2/2022 15:05,194.105,194.8,193.91,194.545,601392,0,0
6/2/2022 15:10,194.45,194.88,194.32,194.67,420250,0,0
6/2/2022 15:15,194.685,195.23,194.45,194.97,457281,0,0
6/2/2022 15:20,194.9999,195.1,194.61,194.96,388896,0,0
6/2/2022 15:25,194.97,195.29,193.75,194.04,756201,0,0
6/2/2022 15:30,194.05,194.4,193.8909,194.2784,436468,0,0
6/2/2022 15:35,194.28,194.78,194.1701,194.36,444766,0,0
6/2/2022 15:40,194.39,194.81,194.25,194.78,388951,0,0
6/2/2022 15:45,194.795,195.11,194.49,194.83,515288,0,0
6/2/2022 15:50,194.7717,195.95,194.7717,195.79,845365,0,0
6/2/2022 15:55,195.78,196.03,195.5,195.92,2957911,0,0
6/3/2022 9:30,190.815,192.3,189.8,191.0401,1591016,0,0
6/3/2022 9:35,191.03,191.88,189.52,191.88,1213663,0,0
6/3/2022 9:40,191.8546,192.48,190.16,190.3972,1162784,0,0
6/3/2022 9:45,190.39,191.84,189.9,191.29,888943,0,0
6/3/2022 9:50,191.31,191.4384,189.2299,190.9092,1116317,0,0
6/3/2022 9:55,190.89,192.67,190.89,192.08,1300727,0,0
6/3/2022 10:00,192.16,193.07,191.5801,192.07,1158879,0,0
6/3/2022 10:05,192.06,193.323,190.93,191.785,913235,0,0
6/3/2022 10:10,191.76,192.26,190.32,190.81,803230,0,0
6/3/2022 10:15,190.86,191.6092,190.3,190.8398,696027,0,0
6/3/2022 10:20,190.84,191.0813,189.71,190.32,811127,0,0
